"Status","Class","FriendlyName","InstanceId"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM045D\0"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM045D\1"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM045E\64"
"OK","System","Qualcomm(R) Data Device","ACPI\QCOM045F\1"
"OK","System","Qualcomm(R) Data Device","ACPI\QCOM045F\2&DABA3FF&0"
"OK","System","Qualcomm(R) FastRPC Device","ACPI\QCOM0460\2&DABA3FF&0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0462\0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0462\1"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0462\2"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0463\0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0465\0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0465\1"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0467\0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0469\0"
"OK","System","Surface Pro X ADC Temperature Monitor Device","ACPI\QCOM0469\1"
"OK","System","Qualcomm(R) IPA Bus Device","ACPI\QCOM0470\0"
"OK","Bluetooth","Qualcomm(R) Bluetooth UART Transport Driver","ACPI\QCOM0471\2&DABA3FF&0"
"OK","Sensor","Qualcomm(R) Location","ACPI\QCOM0472\0"
"OK","System","Qualcomm(R) System Manager Device","ACPI\QCOM0476\0"
"OK","System","Qualcomm(R) Protection Domain Service Registry Device","ACPI\QCOM047C\2&DABA3FF&0"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM0483\0"
"OK","System","Qualcomm(R) Audio RPC Daemon Device","ACPI\QCOM048A\2&DABA3FF&0"
"OK","System","Qualcomm(R) Data Device","ACPI\QCOM048B\2&DABA3FF&0"
"OK","System","Qualcomm(R) Memory and File System Device","ACPI\QCOM048D\0"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM0493\0"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM0493\1"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM0493\2"
"OK","USB","Synopsys USB 3.0 Dual-Role Controller","ACPI\QCOM0497\0"
"OK","USB","Synopsys USB 3.0 Dual-Role Controller","ACPI\QCOM0497\1"
"OK","System","Qualcomm(R) IOMMU Device","ACPI\QCOM049B\0"
"OK","System","Qualcomm(R) IOMMU Device","ACPI\QCOM049B\1"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM049D\0"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM049E\0"
"OK","Sensor","Surface Pro X Qualcomm(R) All-Ways Aware(TM) Hub","ACPI\QCOM049F\2&DABA3FF&0"
"OK","System","Qualcomm(R) Power Management","ACPI\QCOM04A2\0"
"OK","Camera","Qualcomm(R) Spectra(TM) 390 ISP Camera MipiCsi Device","ACPI\QCOM04A4\18"
"OK","USB","Qualcomm(R) XHCI Filter Device","ACPI\QCOM04A6\2"
"OK","System","Qualcomm USBC UCSI Participant","ACPI\QCOM04A9\2&DABA3FF&0"
"OK","System","Qualcomm(R) SOC Partition Interface Device","ACPI\QCOM04AA\2&DABA3FF&0"
"OK","System","Qualcomm Modem Limiting Thermal Device","ACPI\QCOM04AF\2&DABA3FF&0"
